id,title,vote,answer,view_num,link,time,author,reputation,combination,issues being discuss,solution,question contain code,Solution type,Solved,answer or highest vote,Symptoms ,SDLC,Special case,Taxonomy_Second,Taxonomy_Third
44639122,Building C++ and Java code using CMake and Maven and bundle in a jar,10,1,4606,https://stackoverflow.com/questions/44639122/building-c-and-java-code-using-cmake-and-maven-and-bundle-in-a-jar,2017-06-19 20:11:42,Santanu C,1190,c++|java,I have a legacy C++ code that is built using CMake. It generates a .so file. I need to wrap this code in Java and build a jar that includes Java code as well as C++ for deployment.,"In Apache Hadoop, the build does something similar to what you described. We use the Apache Maven AntRun Plugin during the compile phase to make an external call to cmake and then call make on the build output generated by CMake to compile and link the C portion of our codebase. This output then feeds into our final build artifacts. In our case, those build artifacts are tarballs rather than bundled straight into a jar file, but you could accomplish it by controlling configuration of the Apache Maven JAR Plugin. Specifically, you may need to override content include/exclude settings.(11 votes)",Yes,"SA1, SA2.1, SA2.2, SB1, SB2",Yes,11,Build,DEM,,,
47599162,pybind11: how to package c++ and python code into a single package?,12,2,4614,https://stackoverflow.com/questions/47599162/pybind11-how-to-package-c-and-python-code-into-a-single-package,2017-12-01 18:11:44,seninp,602,c++|python,I am trying to package together an existing Python code and a new C++ 11 code using CMake and pybind 11.,"You create two modules.
1. mymodule is a public interface, a pure Python module
2. _mymodule is a private implementation, a complied module
Then in mymodule you import necessary symbols from _mymoudle (and fallback to pure Python version if necessary).",Yes,"SA2.1, SA2.2, SB1, SB2",Yes,17,Build,DEM,,,
100854,Reuse define statement from .h file in C# code,6,7,10617,https://stackoverflow.com/questions/100854/reuse-define-statement-from-h-file-in-c-sharp-code,2008-09-19 10:02:03,tomash,12.2k,c#|c++,I have C++ project (VS2005) which includes header file with version number in #define directive. Now I need to include exactly the same number in twin C# project. What is the best way to do it?,"You can achieve what you want in just a few steps:
Create a MSBuild Task; Update the project file to include a call to the task created prior to build (2 votes)",No,"SA2.1, SB1, SB2",Yes,2,Data handling,Design,,Interoperability,
126781,C++ union in C#,76,6,47183,https://stackoverflow.com/questions/126781/c-union-in-c-sharp,2008-09-24 12:20:32,Viktor Elofsson,1459,c#|c++,"I'm translating a library written in C++ to C#, and the keyword 'union' exists once. In a struct.
What's the correct way of translating it into C#?",You can use explicit field layouts for that(80 votes),Yes,"SA1, SA2.1, SA2.2, SB1, SB2",Yes,84,Data handling,Coding,,Data format/compatibility,
184777,Passing data between C++ (MFC) app and C#,8,9,7592,https://stackoverflow.com/questions/184777/passing-data-between-c-mfc-app-and-c-sharp,2008-10-08 20:38:33,JamesSugrue,14k,c#|c++,What is the best approach for passing data between C++ and C#?,Personally I'd be thinking of using something like named pipes as they are easy to use from the C++ side and the System.IO.Pipes on the .NET side also.(7 votes),No,"SA2.1, SB1",Yes,7,Data handling,Design,,Interoperability,
656715,Trying to pass in a boolean C# variable to a javascript variable and set it to true,66,6,40152,https://stackoverflow.com/questions/656715/trying-to-pass-in-a-boolean-c-sharp-variable-to-a-javascript-variable-and-set-it,2009-03-18 01:58:12,mrblah,83.9k,c#|javascript,"If I convert the c# variable to string, then my javascript variable becomes a string and not a js bool value!",myjavascript( <%= MyBooleanVariableInCSharp.ToString().ToLower() %> );(106 votes),Yes,"SA2.2, SB1",Yes,111,Data handling,Coding,standard answer,Data format/compatibility,
682260,Returning JSON from PHP to JavaScript?,136,6,307234,https://stackoverflow.com/questions/682260/returning-json-from-php-to-javascript,2009-03-25 16:00:47,AquinasTub,6815,javascript|php,I have a PHP script that's being called through jQuery AJAX. I want the PHP script to return the data in JSON format to the javascript. ,"Php has an inbuilt JSON Serialising function.
json_encode(195 votes)",Yes,"SA1, SA2.1, SB1, SB2",Yes,203,Data handling,Coding,,Data format/compatibility,
726410,Serialize in C++ then deserialize in C#?,11,7,10294,https://stackoverflow.com/questions/726410/serialize-in-c-then-deserialize-in-c,2009-04-07 15:45:28,scottm,25.9k,c#|c++,"Is there an easy way to serialize data in c++ (either to xml or binary), and then deserialize the data in C#?",Protocol Buffers might be useful to you.(8 votes),No,"SA1, SA2.1, SB1",Yes,8,Data handling,Design,,Data format/compatibility,
874551,std::string in C#?,8,5,18945,https://stackoverflow.com/questions/874551/stdstring-in-c,2009-05-17 12:50:01,Ivan Prodanov,30.7k,c#|c++,"If I remove the std::string parameter,it works great,but with std::string it doesnt work.","std::string and c# string are not compatible with each other. As far as I know the c# string corresponds to passing char* or wchar_t* in c++ as far as interop is concerned.
One of the reasons for this is that There can be many different implementations to std::string and c# can't assume that you're using any particular one.(14 votes)",Yes,"SA2.1, SB1",Yes,14,Data handling,Coding,,Data format/compatibility,
954321,Is it possible to share an enum declaration between C# and unmanaged C++?,19,5,14639,https://stackoverflow.com/questions/954321/is-it-possible-to-share-an-enum-declaration-between-c-sharp-and-unmanaged-c,2009-06-05 04:55:28,sean e,11k,c#|c++,Is there a way to share an enum definition between native (unmanaged) C++ and (managed) C#?,You can use a single .cs file and share it between both projects. #include in C++ on a .cs file should be no problem.(18 votes),Yes,"SA2.1, SA2.2, SB1",Yes,19,Data handling,Coding,,Interoperability,
1067655,How to upload a file using Java HttpClient library working with PHP,52,10,126286,https://stackoverflow.com/questions/1067655/how-to-upload-a-file-using-java-httpclient-library-working-with-php,2009-07-01 07:02:11,Piotr Kocha≈Ñski,18.9k,java|php,I want to write Java application that will upload a file to the Apache server with PHP. ,using MultipartEntity.(66 votes),Yes,"SA2.1, SA2.2, SB1",Yes,66,Data handling,Coding,,Interoperability,
1089662,Python: Inflate and Deflate implementations,58,2,48687,https://stackoverflow.com/questions/1089662/python-inflate-and-deflate-implementations,2009-07-06 23:24:10,Demi,5837,c#|python,"I am interfacing with a server that requires that data sent to it is compressed with Deflate algorithm (Huffman encoding + LZ77) and also sends data that I need to Inflate.
when I make a call such as the following:
result_data = zlib.decompress( base64_decoded_compressed_string )
I receive the following error:
Error -3 while decompressing data: incorrect header check","If you are trying to inflate some compressed data with the C# DeflateStream and you get that message, then it is quite possible that you are giving it a a zlib stream, not a deflate stream. (23 votes)",Yes,"SA1, SA2.1, SA2.2, SB1, SB2",Yes,23,Data handling,Coding,,Data format/compatibility,
1224793,Javascript serialization of DateTime in asp.net is not giving a javascript date object?,48,10,43312,https://stackoverflow.com/questions/1224793/javascript-serialization-of-datetime-in-asp-net-is-not-giving-a-javascript-date,2009-08-03 21:46:58,Your Friend Ken,7309,c#|javascript,"When I parse a DateTime to json in .Net it returns a string (i.e. ""\/Date(1249335194272)\/""). How do I make it return a js Date object constructor not wrap in a string?",This is a known limitation with JSON.(56 votes),Yes,"SA1, SA2.2, SB1, SB2",Yes,14,Data handling,Coding,"self-answer, other answer get more vote",Data format/compatibility,
1428598,Can a JSON object returned by PHP contain a date object,15,5,16046,https://stackoverflow.com/questions/1428598/can-a-json-object-returned-by-php-contain-a-date-object,2009-09-15 17:41:16,Eric,83.8k,javascript|php,Find a way to create a JSON object in PHP that contains  a javascript date object,"pass the date / time as a UNIX timestamp and  use ""getTimestamp()"" function in PHP (9 votes)",No,"SA2.1, SB1",Yes,9,Data handling,Coding,,Data format/compatibility,
1714624,Is there any library to deserialize with python which is serialized with java,12,7,7433,https://stackoverflow.com/questions/1714624/is-there-any-library-to-deserialize-with-python-which-is-serialized-with-java,2009-11-11 11:33:19,Prabu,2234,java|python,Is there any library to deserialize with python which is serialized with java?,"1. Your Java program can serialise/deserialise in XML, which would be translatable. Check out JAXB or XStream
2. Have you looked at the possibility of running in Jython - the Python implementation in Java(6 votes)",No,"SA1, SA2.1, SB1, SB2",Yes,6,Data handling,Design,,Data format/compatibility,
1745248,PHP json_encode and javascript functions,26,9,26409,https://stackoverflow.com/questions/1745248/php-json-encode-and-javascript-functions,2009-11-16 22:23:57,David Murdoch,79.4k,javascript|php,I need to encode a javascript function into a JSON object in PHP.,"As Jani said, this is not possible directly with JSON, but this might help you: http://web.archive.org/web/20080828165256/http://solutoire.com/2008/06/12/sending-javascript-functions-over-json/(24 votes)",Yes,SB2,Yes,24,Data handling,Coding,,Data format/compatibility,
2001405,Strategy for cross-language (java and c#) object serialization,15,9,8978,https://stackoverflow.com/questions/2001405/strategy-for-cross-language-java-and-c-object-serialization,2010-01-04 18:56:54,Lee Warner,2293,c#|java,I'm working on a project where I'll need to serialize some data in a java 6 app and deserialize it a c# 2.0 app. Is there a strategy or something already in existence I can look at that would allow me to do this with these two languages? I'm guessing they both support XML serialization but I really need it to be binary serialized.,"Protocol buffers would be a good option here. On the C# side, I would recommend Jon Skeet's dotnet-protobufs for this use-case, since it has the same API on both sides (his C# version is a port of the Google Java version, part of the core distribution). If you want the C# to be more ""typical .NET"", then protobuf-net may help.(18 votes)",No,"SA1, SA2.1, SB1, SB2",Yes,18,Data handling,Coding,,Data format/compatibility,
2090765,Encryption compatible between Android and C#,19,5,21246,https://stackoverflow.com/questions/2090765/encryption-compatible-between-android-and-c-sharp,2010-01-19 03:00:50,Jess,38.4k,c#|java,"I've found plenty of examples how to do encryption in C#, and a couple for Android, but I'm particularly looking for a way to handle encrypting (using something like AES, TripleDES, etc.) from Android, and eventually wind up being decrypted in C#. I found an example for encoding AES in Android and encoding/decoding AES in C# but am not sure if these are compatible (C# requires an IV, nothing is specified for this in the Android example). Also, a recommendation on a good way of encoding the encrypted string for transmission over HTTP (Base64?) would be helpful. ",Got some help from http://oogifu.blogspot.com/2009/01/aes-in-java-and-c.html.(40 votes),No,"SA1, SA2.2, SB1, SB2",Yes,40,Data handling,Coding,,Data format/compatibility,
2404247,DateTime to javascript date,98,10,114685,https://stackoverflow.com/questions/2404247/datetime-to-javascript-date,2010-03-08 19:50:54,AJ.,8684,c#|javascript,"From another answer on Stackoverflow is a conversion from Javascript date to .net DateTime
how to do the reverse? DateTime to Javascript Date?","return DateTime.Now.Subtract(new DateTime(1970, 1,1)).TotalMilliseconds(118 votes)",Yes,"SA2.1, SA2.2, SB1",Yes,122,Data handling,Coding,,Data format/compatibility,
2726551,Call Python From PHP And Get Return Code,11,2,20033,https://stackoverflow.com/questions/2726551/call-python-from-php-and-get-return-code,2010-04-28 02:59:52,seaboy,143,php|python,"I am calling a python script from PHP.
The python program has to return some value according to the arguments passed to it.","In PHP, you can execute a command and obtain the return code using exec.",Yes,"SA1, SA2.1, SA2.2, SB1, SB2",Yes,14,Data handling,Coding,,Interoperability,
3609005,"Simple Javascript encrypt, PHP decrypt with shared secret key",15,5,39446,https://stackoverflow.com/questions/3609005/simple-javascript-encrypt-php-decrypt-with-shared-secret-key,2010-08-31 12:28:51,Majid Fouladpour,24.8k,javascript|php,"This is not about security. It is also not to make it hard to break. I'm looking for a simple algorithm to change a string (a url) in a way it does not resemble the original. The encryption will be done with javascript. Then I want to feed the encrypted string to a PHP function to change it back to the original. Both ends could share a secret key, or the conversions could be key-less and rely on just logic.","If that's what you want, you can Base64 encode and decode that.(12 votes)",No,"SA1, SA2.1, SB1, SB2",Yes,13,Data handling,Design,,Data format/compatibility,
3668928,C function to escape string for shell command argument?,8,5,5225,https://stackoverflow.com/questions/3668928/c-function-to-escape-string-for-shell-command-argument,2010-09-08 14:45:46,eonil,72.1k,c|shell,What function should I use to escape strings for shell command argument in C?,"Replacing all instances of ' with '\'' then enclosing the whole string in single quotes (') is one safe way. This works even with embedded newlines. Another method would be to insert \ before each character, except that then you have to do some special treatment for newlines since \ followed by a newline is ignored by the shell, not treated as a literal newline. You'd have to surround newlines with ' (single quotes).(7 votes)",No,"SA2.1, SB1",Yes,8,Data handling,Coding,,Data format/compatibility,
4145775,How do I convert a Python list into a C array by using ctypes?,48,4,46876,https://stackoverflow.com/questions/4145775/how-do-i-convert-a-python-list-into-a-c-array-by-using-ctypes,2010-11-10 14:58:13,No One in Particular,2486,c++|python,"If I have the follow 2 sets of code, how do I glue them together?","The following code works on arbitrary lists:
import ctypes
pyarr = [1, 2, 3, 4]
arr = (ctypes.c_int * len(pyarr))(*pyarr)(88 votes)",Yes,"SA2.2, SB1",Yes,94,Data handling,Coding,,Data format/compatibility,
4167233,How do I pass arrays from Java to C++ using Swig?,10,4,5989,https://stackoverflow.com/questions/4167233/how-do-i-pass-arrays-from-java-to-c-using-swig,2010-11-12 17:12:44,Jason,9546,c++|java,I have a method in C++ that takes an array of doubles as an argument. I'm calling this method from Java and need to pass an array of doubles. The C++ routine reads and modifies the values of the array and I need those updated values in Java.,"Use carrays.i!
See Swig docs on carrays(8 votes)",Yes,"SA1, SA2.1, SA2.2, SB1, SB2",Yes,8,Data handling,Coding,two answer,Interoperability,
4537099,Unable to exchange data encrypted with AES-256 between Java and PHP,13,4,16165,https://stackoverflow.com/questions/4537099/unable-to-exchange-data-encrypted-with-aes-256-between-java-and-php,2010-12-27 06:57:39,LZZ,133,java|php,"what I encrypt in Java I can decrypt perfectly in Java, but PHP mcrypt can't decrypt. What I encrypt with mcrypt I can decrypt with mcrypt, but can't in Java.","BUG#1
MCRYPT_RIJNDAEL_256 is not AES. The 256 in that constant refers to the blocksize, not the keysize. Use MCRYPT_RIJNDAEL_128 to get the same algorithm as AES. The keysize is set just by the number of bytes in the key argument you supply. So supply 32 bytes and you get AES with a 256-bit key.
BUG#2
These two lines are never correct in Java and indicate a fundamental misunderstanding of the nature of the arbitrary binary data produced by cryptographic transforms(14 votes)",Yes,"SA1, SA2.1, SA2.2, SB1",Yes,14,Data handling,Coding,,Data format/compatibility,
4608876,C# DllImport with C++ boolean function not returning correctly,32,7,20083,https://stackoverflow.com/questions/4608876/c-sharp-dllimport-with-c-boolean-function-not-returning-correctly,2011-01-05 20:31:10,Shammah,581,c#|c++,(Code question),I found the solution for your problem. Your declaration should be preceded with this marshaling: [return:MarshalAs(UnmanagedType.I1)](58 votes),Yes,"SA2.1, SA2.2, SB1",Yes,59,Data handling,Coding,,Data format/compatibility,
4619996,How to run Ruby/Python scripts from inside PHP passing and receiving parameters?,8,5,11458,https://stackoverflow.com/questions/4619996/how-to-run-ruby-python-scripts-from-inside-php-passing-and-receiving-parameters,2011-01-06 21:20:57,Roger,6594,php|python,"I need to turn HTML into equivalent Markdown-structured text.

OBS.: Quick and clear way of doing this with PHP & Python.

As I am programming in PHP, some people indicates Markdownify to do the job, but unfortunately, the code is not being updated and in fact it is not working. At sourceforge.net/projects/markdownify there is a ""NOTE: unsupported - do you want to maintain this project? contact me! Markdownify is a HTML to Markdown converter written in PHP. See it as the successor to html2text.php since it has better design, better performance and less corner cases.""

From what I could discover, I have only two good choices:

Python: Aaron Swartz's html2text.py

Ruby: Singpolyma's html2markdown.rb, based on Nokogiri

So, from PHP, I need to pass the HTML code, call the Ruby/Python Script and receive the output back.

(By the way, a folk made a similar question here (""how to call ruby script from php?"") but with no practical information to my case).

Following the Tin Man`s tip (bellow), I got to this:

PHP code:

$t='<p><b>Hello</b><i>world!</i></p>';
$scaped=preg_quote($t,""/"");
$program='python html2md.py';

//exec($program.' '.$scaped,$n); print_r($n); exit; //Works!!!

$input=$t;

$descriptorspec=array(
   array('pipe','r'),//stdin is a pipe that the child will read from
   array('pipe','w'),//stdout is a pipe that the child will write to
   array('file','./error-output.txt','a')//stderr is a file to write to
);

$process=proc_open($program,$descriptorspec,$pipes);

if(is_resource($process)){
    fwrite($pipes[0],$input);
    fclose($pipes[0]);
    $r=stream_get_contents($pipes[1]);
    fclose($pipes[1]);
    $return_value=proc_close($process);
    echo ""command returned $return_value\n"";
    print_r($pipes);
    print_r($r);
}
Python code:

#! /usr/bin/env python
import html2text
import sys
print html2text.html2text(sys.argv[1])
#print ""Hi!"" #works!!!
With the above I am geting this:

command returned 1 Array ( [0] => Resource id #17 1 => Resource id #18 )

And the ""error-output.txt"" file says:

Traceback (most recent call last): File ""html2md.py"", line 5, in print html2text.html2text(sys.argv1) IndexError: list index out of range

Any ideas???

Ruby code (still beeing analysed)

#!/usr/bin/env ruby
require_relative 'html2markdown'
puts HTML2Markdown.new(""<h1>#{ ARGF.read }</h1>"").to_s
Just for the records, I tryed before to use PHP's most simple ""exec()"" but I got some problemas with some special characters very common to HTML language.

PHP code:

echo exec('./hi.rb');
echo exec('./hi.py');
Ruby code:

#!/usr/bin/ruby
puts ""Hello World!""
Python code:

#!usr/bin/python
import sys
print sys.argv[1]
Both working fine. But when the string is a bit more complicated:

$h='<p><b>Hello</b><i>world!</i></p>';
echo exec(""python hi.py $h"");
It did not work at all.

That's because the html string needed to have its special characters scaped. I got it using this:

$t='<p><b>Hello</b><i>world!</i></p>';
$scaped=preg_quote($t,""/"");
Now it works like I said here.

I am runnig: Fedora 14 ruby 1.8.7 Python 2.7 perl 5.12.2 PHP 5.3.4 nginx 0.8.53","Have PHP open the Ruby or Python script via proc_open, piping the HTML into STDIN in the script. The Ruby/Python script reads and processes the data and returns it via STDOUT back to the PHP script, then exits. This is a common way of doing things via popen-like functionality in Perl, Ruby or Python and is nice because it gives you access to STDERR in case something blows chunks and doesn't require temp files, but it's a bit more complex.(12 votes)",Yes,"SA1, SA2.1, SA2.2, SB1, SB2",Yes,12,Data handling,Coding,,Data format/compatibility,
5022447,Converting date from Python to Javascript,31,3,21302,https://stackoverflow.com/questions/5022447/converting-date-from-python-to-javascript,2011-02-16 21:39:31,Nick Heiner,105k,javascript|python,Shouldn't the Javascript date be the same as the one that I entered in Python? What am I doing wrong?,"Javascript's Date() takes milliseconds as an argument. Python's uses seconds. You have to multiply by 1,000.(45 votes)",Yes,"SA2.1, SB1",Yes,46,Data handling,Coding,,Data format/compatibility,
5265637,SWIG wrapped vector of vectors (C++ to python) - how to recognise the inner vector as a proxy object?,12,1,5031,https://stackoverflow.com/questions/5265637/swig-wrapped-vector-of-vectors-c-to-python-how-to-recognise-the-inner-vect,2011-03-10 20:39:08,Danny S,443,c++|python,(Code question),(Code solution) (12 votes),Yes,"SA2.1, SA2.2, SB1",Yes,12,Data handling,Coding,,Data format/compatibility,
5571646,How to pass a Javascript Array via JQuery Post so that all its contents are accessible via the PHP $_POST array?,41,4,124873,https://stackoverflow.com/questions/5571646/how-to-pass-a-javascript-array-via-jquery-post-so-that-all-its-contents-are-acce,2011-04-06 19:08:59,PleaseHelpMe,689,javascript|php,How can I pass a Javascript Array via JQuery Post so that all its contents are accessible via the PHP $_POST array?,"If you want to pass a JavaScript object/hash (ie. an associative array in PHP) then you would do:
$.post('/url/to/page', {'key1': 'value', 'key2': 'value'});
If you wanna pass an actual array (ie. an indexed array in PHP) then you can do:
$.post('/url/to/page', {'someKeyName': ['value','value']});
If you want to pass a JavaScript array then you can do:
$.post('/url/to/page', {'someKeyName': variableName});(62 votes)",No,"SA2.2, SB1",Yes,63,Data handling,Coding,,Interoperability,
5618925,Convert php array to Javascript,185,17,395405,https://stackoverflow.com/questions/5618925/convert-php-array-to-javascript,2011-04-11 08:54:20,user663878,1953,javascript|php,How can I convert a PHP array in a format like this to a Javascript array in the format below?,(Code solution) (61 votes),Yes,"SA2.2, SB1, SB2",Yes,63,Data handling,Coding,,Data format/compatibility,
5664737,Calling C DLL from C#,9,4,26819,https://stackoverflow.com/questions/5664737/calling-c-dll-from-c-sharp,2011-04-14 14:26:42,Mr Moose,4926,c#|c++,"I am trying to call a C DLL from C#, but I'm not having any joy. ",I found the reason for my failed attempts by utilising a tool called; Microsoft(R) P/Invoke Interop Assistant as suggested by an answer on this thread.(9 votes),Yes,"SA1, SA2.1, SA2.2, SB1, SB2",Yes,9,Data handling,Coding,,Data format/compatibility,
5972207,passing string array from java to C with JNI,32,4,43071,https://stackoverflow.com/questions/5972207/passing-string-array-from-java-to-c-with-jni,2011-05-12 00:51:06,masay,906,c++|java,"I have a string array like {""myname"",""yourname"",""hisname""} and I am trying to send this array to C with using JNI. I could not find any clear solution for this. I have tried to take this string as a chararray but no success.","You can write a simple function that takes a jobjectArray object, cast each one to jstring and then call GetStringUTFChars on it.(84 votes)",No,"SA2.1, SA2.2, SB1",Yes,85,Data handling,Coding,,Data format/compatibility,
6702705,How to convert Javascript datetime to C# datetime?,55,15,118292,https://stackoverflow.com/questions/6702705/how-to-convert-javascript-datetime-to-c-sharp-datetime,2011-07-15 04:30:58,chobo2,71.9k,c#|javascript,I have been reading that if you want to convert from JavaScript dates to C# dates you should use getTime() and then add that result to a C# DateTime,(Code solution) (38 votes),Yes,"SA2.1, SA2.2, SB1",Yes,40,Data handling,Coding,,Data format/compatibility,
