answers_reputation,answers_vote,link
"35211,9854,3455,172,2669","6,6,3,3,0",https://stackoverflow.com/questions/16693178/c-vector-to-python-3-3
115041,5,https://stackoverflow.com/questions/14371758/can-a-python-function-taking-args-kwargs-be-called-from-c-or-another-language
"14879,19717,7714,828","22,7,3,1",https://stackoverflow.com/questions/8933263/how-do-i-wrap-a-c-class-with-cython
19756,2,https://stackoverflow.com/questions/33779063/nuget-package-with-a-dependency-on-visual-c-2013-runtime
"7551,81,11","5,2,1",https://stackoverflow.com/questions/31766219/export-constants-from-header-with-cython
"55965,689269,14631,8909","7,6,0,0",https://stackoverflow.com/questions/2087840/add-a-reference-from-a-c-sharp-app-to-a-dll-compiled-without-clr
"59154,151,21","17,15,0",https://stackoverflow.com/questions/30990129/encrypt-in-python-decrypt-in-javascript
"137207,102807,331802,131252,29871,713,19,38140","20,10,5,4,3,2,0,0",https://stackoverflow.com/questions/3628601/how-fast-is-client-side-javascript-versus-server-side-java
"20449,23403,23404,1430","13,7,5,1",https://stackoverflow.com/questions/32512444/use-jquery-to-post-data-to-mvc-action-method
"45066,720857","8,2",https://stackoverflow.com/questions/6111843/limitations-of-pytuple-setitem
"22629,8696","5,3",https://stackoverflow.com/questions/18155582/should-the-order-of-import-statements-matter-when-importing-a-so
"49047,71","10,7",https://stackoverflow.com/questions/20054822/exposing-c-interface-in-boost-python
"501,1533,59,7915,30144","12,3,1,0,6",https://stackoverflow.com/questions/5187242/encode-a-string-to-be-used-as-shell-argument
"4333,67","3,2",https://stackoverflow.com/questions/7446992/using-nltk-in-c-sharp-via-ironpython
"1333,80069,0,88","8,2,1,0",https://stackoverflow.com/questions/2874603/is-it-possible-to-embed-c-code-in-a-c-sharp-project
"474,3504,5729,292307,71966,267,703,1","32,11,5,0,0,0,0,0",https://stackoverflow.com/questions/2865289/php-redirection-with-post-parameters
28002,6,https://stackoverflow.com/questions/33813735/nginx-with-expires-on-javascript-files-dynamically-generated-by-php
"4122,366613,11043,1910","13,5,0,0",https://stackoverflow.com/questions/1953731/python-pytables-java-tying-all-together
109565,3,https://stackoverflow.com/questions/6407034/can-java-interact-with-system-v-linux-message-queues
"44097,3977,5262,5262,123","20,3,3,1,0",https://stackoverflow.com/questions/9444342/adding-a-javascript-script-tag-some-place-so-that-it-works-for-every-file-in-sph
141030,16,https://stackoverflow.com/questions/18679264/how-to-use-malloc-and-free-with-python-ctypes
"181222,10411,47383,87718,4693,71655","8,2,0,0,0,0",https://stackoverflow.com/questions/726410/serialize-in-c-then-deserialize-in-c
"7236,26012,76346,24673,13054,3036,9858,38842,7186,19459,40360,11","105,12,3,3,3,3,2,2,2,1,1,1",https://stackoverflow.com/questions/1153577/integrate-python-and-c
13355,20,https://stackoverflow.com/questions/29287311/how-to-append-datetime-value-to-formdata-and-receive-it-in-controller
"8470,1986","21,1",https://stackoverflow.com/questions/6751825/simplest-way-to-pass-float-to-c-via-jni
"36480,362375,21516,6393,2116,1094,3043,2447,709,12772","17,7,3,3,2,1,1,1,0,0",https://stackoverflow.com/questions/3121367/php-script-malicious-javascript-code-at-the-end
"14913,13539,18301,1244,110401,924,11,2753,2015,216","5,1,1,1,1,1,1,0,0,0",https://stackoverflow.com/questions/1496731/how-do-i-remove-unnecessary-resources-from-my-project
"2822,640,1308,4007","3,2,2,2",https://stackoverflow.com/questions/30551935/javascript-variable-and-smarty
"1298697,9562,499,93697","24,17,4,1",https://stackoverflow.com/questions/729562/how-to-compile-c-sharp-application-with-c-static-library
"25449,94","7,1",https://stackoverflow.com/questions/33677231/how-to-expose-a-function-returning-a-c-object-to-python-without-copying-the-ob
"35985,7958,339,787,33,243,1,2527","130,5,4,1,0,0,1,3",https://stackoverflow.com/questions/11430773/how-to-use-javascript-with-selenium-webdriver-java
"13063,1121,79,7898,876","6,5,4,1,1",https://stackoverflow.com/questions/21256679/how-to-include-jquery-in-a-wordpress-theme
"3693,35636,110724,115","6,6,2,0",https://stackoverflow.com/questions/2219982/getting-php-to-run-a-python-script
"494,7983","13,9",https://stackoverflow.com/questions/60892286/javascript-to-c-sharp-numeric-precision-loss
"3249,4637","3,0",https://stackoverflow.com/questions/2753056/jquery-get-only-passing-first-two-data-parameters-in-url
"55783,745713,215560","30,4,3",https://stackoverflow.com/questions/15449428/does-the-shell-in-shell-true-in-subprocess-means-bash
"118001,22753,1849","8,2,2",https://stackoverflow.com/questions/4541565/how-can-i-assert-from-python-c-code
"1671,68131,47814,7100,11498,370178,13473,5777,542,1876,475,29346","167,122,103,43,22,19,12,12,9,5,5,3",https://stackoverflow.com/questions/1942298/wrapping-a-c-library-in-python-c-cython-or-ctypes
"5997,4548","1,0",https://stackoverflow.com/questions/3529160/how-do-i-get-a-stdexception-error-description-when-calling-a-c-dll-from-c-sh
"1522,3928,89,425,214918,1610,1,1364","20,7,2,2,1,1,0,0",https://stackoverflow.com/questions/10073564/how-can-i-convert-python-dictionary-to-javascript-hash-table
"12000,3680","11,10",https://stackoverflow.com/questions/3632283/does-accesscontroller-doprivileged-give-javascript-threads-the-permissions-of-th
"6446,1166","6,3",https://stackoverflow.com/questions/49156/importing-javascript-in-jsp-tags
"1298697,7624,18532,109457,18158,37725,589458,3598,667,110117","37,20,19,6,6,4,3,3,3,2",https://stackoverflow.com/questions/1119696/java-python-integration
"28589,141030","9,6",https://stackoverflow.com/questions/8102244/swig-c-to-python-warning362-operator-ignored
"59277,110829,22753,1896,4132,11","4,3,3,3,1,1",https://stackoverflow.com/questions/10847370/tips-for-using-a-c-library-from-c-sharp
"241,21","8,0",https://stackoverflow.com/questions/10549872/why-cant-python-execute-java-exe-via-subprocess
"9040,8810","11,10",https://stackoverflow.com/questions/3544240/conditional-ctypedef-with-cython
"102591,5619,3582,11,628,10900","4,1,1,1,0,0",https://stackoverflow.com/questions/2179601/good-php-framework-for-fully-ajax-based-web-applications
"6928,1049,31,2023","1,0,0,2",https://stackoverflow.com/questions/2962038/how-to-remove-dangerous-charactersie-script-tags
"37469,12188","7,0",https://stackoverflow.com/questions/3074614/how-do-you-fight-against-all-these-ways-javascript-and-its-million-different-w
"11472,481,151,41","12,8,6,2",https://stackoverflow.com/questions/5882650/how-to-execute-a-shell-script-in-php
"6436,84400","6,1",https://stackoverflow.com/questions/2692873/quote-posix-shell-special-characters-in-python-output
"326620,56001,6488","22,4,0",https://stackoverflow.com/questions/18050937/how-can-i-execute-shell-command-with-a-pipe-in-it
"11402,11402,1172,4133,58165","4,4,1,0,0",https://stackoverflow.com/questions/5522063/serving-php-as-css-js-is-it-fast-enough-what-drawbacks-are-there
0,1,https://stackoverflow.com/questions/26904725/pylucene-error-with-icetea-jdk-jre
"52114,79","6,0",https://stackoverflow.com/questions/7919856/how-to-use-websockets-with-play-framework
"10966,351,4700,970,3307","11,1,0,0,0",https://stackoverflow.com/questions/419240/how-to-get-javascript-function-data-into-a-php-variable
"6058,2797,49451,1494,5326","2,2,2,1,1",https://stackoverflow.com/questions/3128709/adding-facebook-connect-to-a-codeigniter-website
"128221,1","15,0",https://stackoverflow.com/questions/3819071/asp-net-scriptservice-deserialization-problem-with-derived-types
141030,11,https://stackoverflow.com/questions/16218929/how-to-instantiate-a-template-method-of-a-template-class-with-swig
"33929,3835,114758","15,3,3",https://stackoverflow.com/questions/4354411/debugging-native-code-when-called-from-managed
"223,10874,7990,36","3,2,0,0",https://stackoverflow.com/questions/2356098/what-is-the-best-tool-for-performance-regression-testing
"7401,366613,615,49805,601,28852","15,9,7,1,1,1",https://stackoverflow.com/questions/438594/how-to-call-java-objects-and-functions-from-cpython
"43612,3699,424956,308","14,5,3,0",https://stackoverflow.com/questions/3259967/sending-displaying-a-base64-encoded-image
"26212,12614","5,0",https://stackoverflow.com/questions/7672792/calling-c-exe-functions-from-c-sharp
"954477,68871","2,2",https://stackoverflow.com/questions/18096415/convert-object-to-void-and-back
"34443,117732,6782,103","8,6,4,2",https://stackoverflow.com/questions/4011180/how-to-use-a-c-library-in-a-c-sharp-app
"40973,62575","11,0",https://stackoverflow.com/questions/210978/using-os-execvp-in-python
"48027,0,20123,7801,1331,9518","21,7,1,1,0,0",https://stackoverflow.com/questions/1199470/combine-javascript-files-at-deployment-in-python
"9995,6221,89344,13432,49913","28,9,5,4,4",https://stackoverflow.com/questions/23622923/is-it-acceptable-practice-to-unit-test-a-program-in-a-different-language
"506,1688,1098","2,2,1",https://stackoverflow.com/questions/57172870/how-to-use-a-different-c-compiler-in-cython
97552,25,https://stackoverflow.com/questions/25882150/python-h-not-found-using-swig-and-anaconda-python
1028,3,https://stackoverflow.com/questions/41759122/how-to-use-googletest-for-testing-c-code-that-calls-into-java-on-android
3527,15,https://stackoverflow.com/questions/43621948/c-python-module-import-error-undefined-symbol-py-initmodule3-py-initmodu
801,3,https://stackoverflow.com/questions/29006439/boost-python-multiple-modules-in-one-shared-object
1211,3,https://stackoverflow.com/questions/49866263/how-are-symbols-contained-in-the-libpythonx-x-linked-to-numpy-extension-dynamic
"313,61803","8,3",https://stackoverflow.com/questions/4259170/python-setup-script-extensions-how-do-you-include-a-h-file
"519,7545,66","0,0,0",https://stackoverflow.com/questions/16520052/how-to-generate-64-bit-dll-which-gcc-compiler-or-other-cant-load-ia-32-bit-d
3674,1,https://stackoverflow.com/questions/66498069/what-is-the-most-conventional-way-to-integrate-c-code-into-a-python-library-usin
25449,12,https://stackoverflow.com/questions/42763186/how-to-release-the-gil-in-cython-for-a-multithreaded-c-class
"1481,751,6196,51,21","90,49,23,5,2",https://stackoverflow.com/questions/2941960/a-call-to-pinvoke-function-has-unbalanced-the-stack
30614,6,https://stackoverflow.com/questions/30455178/numpy-ctypes-dynamic-module-does-not-define-init-function-error-if-not-recompi
"24390,11,519","10,1,2",https://stackoverflow.com/questions/6887338/wrapper-is-disabled-in-the-server-configuration-by-allow-url-include-0
"39737,1","1,0",https://stackoverflow.com/questions/50261675/url-redirect-not-loading-resources-from-correct-relative-source
,,https://stackoverflow.com/questions/52021010/pre-compiling-php-files
686,15,https://stackoverflow.com/questions/39649807/how-to-setup-qwebchannel-js-api-for-use-in-a-qwebengineview
121429,9,https://stackoverflow.com/questions/36530637/embedding-python-in-c-error-in-linking-undefined-reference-to-pystring-asstri
"5924,4420,126,176","8,5,2,2",https://stackoverflow.com/questions/7195959/hello-world-with-boost-python-and-python-3-2
"14719,712","18,1",https://stackoverflow.com/questions/20904131/how-to-calculate-code-coverage-of-selenium-tests-with-respect-to-web-application
"96405,198,151,12103","18,3,1,0",https://stackoverflow.com/questions/19100085/javascript-runtime-error-unable-to-get-property-msie-of-undefined-or-null-ref
"3097,1776","6,0",https://stackoverflow.com/questions/6336094/jquery-autocomplete-in-background-of-input-text-box
886524,5,https://stackoverflow.com/questions/50674904/firing-events-in-c-and-handling-them-in-c-sharp
5359,25,https://stackoverflow.com/questions/11643666/python-importerror-undefined-symbol-for-custom-c-module
"141,60183,2284,362375,845,43,11,35,471","14,13,7,3,1,1,1,0,0",https://stackoverflow.com/questions/5051059/codeigniter-and-javascript-jquery-library
4655,16,https://stackoverflow.com/questions/32440486/what-does-a-blue-dot-beneath-the-visual-studio-breakpoint-mean
18796,9,https://stackoverflow.com/questions/35716417/show-previously-uploaded-images-in-fine-uploader
"6446,10402,146","6,0,0",https://stackoverflow.com/questions/28607708/event-source-server-returns-event-stream-in-bulk-rather-then-returning-in-chu
867,0,https://stackoverflow.com/questions/34823870/ghostdriver-1-2-1-phantomjs-2-0-latest-selenium-cant-find-variable-error-in
3219,2,https://stackoverflow.com/questions/24621889/minimal-example-of-wrapping-c-code-with-cython-passing-int-and-struct
5019,9,https://stackoverflow.com/questions/11114277/execute-perl-in-php
"46690,38562","4,1",https://stackoverflow.com/questions/33293538/compiling-c-from-php-with-exec-error-trying-to-exec-cc1
"14870,166834","9,5",https://stackoverflow.com/questions/49953785/which-options-do-exist-for-defining-a-python-package-with-node-js-dependencies
"31293,385,597,705,2356","35,25,6,2,0",https://stackoverflow.com/questions/40826295/react-routing-and-django-url-conflict
"23190,91400,20085,13003,3211,3211,32546,20506,2443,215363,89","2,1,0,0,0,0,0,0,0,0,0",https://stackoverflow.com/questions/7067512/jquery-cannot-change-a-value-where-js-can-because-the-library-is-out-of-date
"687259,159540,495534","3,2,2",https://stackoverflow.com/questions/19428747/java-equivalent-of-c-copy-assignment-operator
"214,25684,1140","3,1,1",https://stackoverflow.com/questions/22846186/paypal-redirects-to-the-same-popup-window
109613,32,https://stackoverflow.com/questions/49793560/build-c-plugin-for-unity
"2423,3402","12,4",https://stackoverflow.com/questions/13845475/mpdf-ignoring-javascript
46569,45,https://stackoverflow.com/questions/30686266/how-to-include-csrf-token-in-an-external-js-file-in-laravel
3762,10,https://stackoverflow.com/questions/5182857/can-i-use-fabric-to-perform-interactive-shell-commands
"5503,35572,17037","3,1,0",https://stackoverflow.com/questions/10916952/in-visual-studio-c-is-there-a-way-to-apply-web-config-transforms-to-javascript
150,7,https://stackoverflow.com/questions/30603810/authenticate-firebase-firechat-with-wordpress-user-or-database
"765,397,397","3,2,0",https://stackoverflow.com/questions/911034/how-to-debug-jni-c-library
"7498,754,91","34,2,0",https://stackoverflow.com/questions/9940381/how-to-generate-jni-header-file-in-eclipse
0,3,https://stackoverflow.com/questions/39059853/nodejs-alternative-to-php-includes
"625,109","6,3",https://stackoverflow.com/questions/47635408/cythonizing-fails-because-of-unknown-type-name-uint64-t
"391,1630","3,0",https://stackoverflow.com/questions/40360372/cant-import-numpy-from-c
"71801,18973,1226","5,1,1",https://stackoverflow.com/questions/2885822/which-logging-library-to-use-for-cross-language-java-c-python-system
"1052,0,5831","23,10,0",https://stackoverflow.com/questions/4421832/compiling-python-to-c-using-cython
841,5,https://stackoverflow.com/questions/40674654/can-not-add-data-attributes-in-script-tag-in-prestashop-1-6
"3015,5272,10742,11","15,10,1,1",https://stackoverflow.com/questions/7598431/adding-jquery-to-magento
,,https://stackoverflow.com/questions/41262490/qnetwork-error-when-use-qt-lib-with-native-jni-android-application
"25383,111","13,11",https://stackoverflow.com/questions/26194684/how-to-disable-python-shell-spawning-less-with-help
38949,11,https://stackoverflow.com/questions/30983220/ctypes-error-attributeerror-symbol-not-found-os-x-10-7-5
"12963,547","13,4",https://stackoverflow.com/questions/10561212/parsing-namespaces-with-clang-ast-differences-in-when-including-a-header-in-ano
515,0,https://stackoverflow.com/questions/36160451/how-can-a-c-cli-project-reference-a-portable-class-library
"36,1128","2,1",https://stackoverflow.com/questions/148071/problem-using-large-binary-segment-in-ooxml
2020,0,https://stackoverflow.com/questions/25303766/creating-custom-function-in-sqlite3-in-android
750,5,https://stackoverflow.com/questions/18861818/cmake-conditionally-generate-protobuf-pb-hcpp-files-when-proto-files-ch
"921,55","5,1",https://stackoverflow.com/questions/28296252/ajax-not-post-base64-data-of-large-image
"1112,2463,51,17718,1384,111,619,0,4914,51","11,10,4,2,2,1,1,0,0,1",https://stackoverflow.com/questions/8525193/how-to-install-jpype-on-os-x-lion-to-use-with-neo4j
"425,49047","6,2",https://stackoverflow.com/questions/19865757/importerror-usr-lib-libboost-python-so-1-54-0-undefined-symbol-pyclass-type
8536,3,https://stackoverflow.com/questions/43942476/load-custom-ner-model-stanford-corenlp
507933,6,https://stackoverflow.com/questions/8295645/cython-vector-operations
1349,16,https://stackoverflow.com/questions/53762552/with-pybind11-how-to-split-my-code-into-multiple-modules-files
1584,0,https://stackoverflow.com/questions/35321671/compiling-c-code-that-uses-both-r-and-numpy-on-linux
8330,5,https://stackoverflow.com/questions/4058423/how-can-i-serve-a-dynamic-javascript-file-from-wicket
141030,0,https://stackoverflow.com/questions/11355110/debugging-python-ctypes-segmentation-fault
"4931,46642,7299,30856,2872,426","30,5,4,2,2,1",https://stackoverflow.com/questions/3400381/calling-a-python-script-from-command-line-without-typing-python-first
"30670,6054,3167,28435,9321,43","88,22,4,4,0,3",https://stackoverflow.com/questions/126781/c-union-in-c-sharp
"16127,2285,119257,3674,1845,1202","124,33,18,3,1,1",https://stackoverflow.com/questions/15321431/how-to-pass-a-list-from-python-by-jinja2-to-javascript
"7396,9854","9,4",https://stackoverflow.com/questions/14341549/passing-a-set-of-numpy-arrays-into-c-function-for-input-and-output
"5473,13242,1976,9663","9,4,2,1",https://stackoverflow.com/questions/5664737/calling-c-dll-from-c-sharp
"19470,730,3038,9821,1786,735,359,937,37523","55,35,18,15,4,4,1,1,0",https://stackoverflow.com/questions/18470702/how-do-i-convert-a-c-sharp-liststring-to-a-javascript-array
5824,11,https://stackoverflow.com/questions/54899367/send-numpy-array-as-bytes-from-python-to-js-through-flask
383,0,https://stackoverflow.com/questions/62208433/trouble-passing-a-c-sharp-string-from-userland-to-kernelmode-c-and-using-it-to-f
"153120,71560,740,177,47","12,5,2,0,0",https://stackoverflow.com/questions/4619996/how-to-run-ruby-python-scripts-from-inside-php-passing-and-receiving-parameters
"63122,8014,71,41,2105,350,313,4844,14589,14589","56,14,7,4,1,1,0,1,1,3",https://stackoverflow.com/questions/1224793/javascript-serialization-of-datetime-in-asp-net-is-not-giving-a-javascript-date
1858,8,https://stackoverflow.com/questions/28068305/converting-a-symfony2-php-entity-object-for-use-within-javascript
8062,8,https://stackoverflow.com/questions/6270245/return-c-object-to-java
"2974,7586","6,2",https://stackoverflow.com/questions/43363710/json-net-is-throwing-additional-text-found-in-json-string-after-finishing-deser
"459,11027,419,2801","22,16,2,1",https://stackoverflow.com/questions/30165475/how-to-compress-minimize-size-of-json-jsonify-with-flask-in-python
"158120,1475","8,1",https://stackoverflow.com/questions/33291631/is-there-a-simple-way-to-get-rid-of-junk-values-that-come-when-you-ssh-using-pyt
"1465,141030","15,7",https://stackoverflow.com/questions/8875185/casting-into-a-python-string-from-a-char-returned-by-a-dll
"274175,64265","4,3",https://stackoverflow.com/questions/41323746/use-python-regex-to-parse-string-of-floats-output-by-java-arrays-deeptostring
"3829,210077","18,4",https://stackoverflow.com/questions/21890805/encrypt-aes-with-c-sharp-to-match-java-encryption
12742,14,https://stackoverflow.com/questions/20676831/how-to-compress-json-in-java-and-decompression-in-javascript
351,1,https://stackoverflow.com/questions/40643196/php-password-verify-vs-python-bcrypt-hashpw
"53490,601","0,0",https://stackoverflow.com/questions/30005700/convert-stdstring-to-ndk-jstring
"2266,431,406","30,5,2",https://stackoverflow.com/questions/12558996/jquery-knob-display-number-change
"8890,2138,45823","4,3,2",https://stackoverflow.com/questions/50439315/encryption-and-decryption-between-java-and-javascript-wont-work
"12935,1795,605","8,2,0",https://stackoverflow.com/questions/28383478/most-efficient-way-to-fix-an-invalid-json
"198,2559,31178","15,12,1",https://stackoverflow.com/questions/11568232/javascript-readable-json-from-python
919,20,https://stackoverflow.com/questions/53340627/typeerror-expected-bytes-like-object-not-str
10704,6,https://stackoverflow.com/questions/45992396/jsonobj-data-not-being-passed-via-ajax-and-post-on-ie11-only
"34260,120","11,2",https://stackoverflow.com/questions/24164951/2f-instead-of-slash-in-url
"25001,71966,186,157","12,5,1,1",https://stackoverflow.com/questions/1662769/rsa-encryption-java-to-php
"12690,31580,23719,5107,178111","7,6,1,1,0",https://stackoverflow.com/questions/4086817/l-prefix-for-strings-in-c
"372213,4263","8,0",https://stackoverflow.com/questions/10515886/converting-jdouble-to-double-of-type-c
"11382,17822","3,2",https://stackoverflow.com/questions/7045764/scraping-javascript-variables-to-php
"1730,112858,384,12997,4945,659","15,14,1,0,0,0",https://stackoverflow.com/questions/8911075/javascript-and-java-date-json-serialization
"191,31254,21","13,2,1",https://stackoverflow.com/questions/38243721/return-json-object-from-php-script
"3886,632","19,5",https://stackoverflow.com/questions/11873878/c-sharp-encryption-to-php-decryption
"88917,567,1","15,3,0",https://stackoverflow.com/questions/1377278/passing-json-encoded-variable-from-php-to-javascript-via-post
"3274,3783,820634,16880,75027","5,4,3,1,1",https://stackoverflow.com/questions/2562648/json-limitation
"19552,1178","9,0",https://stackoverflow.com/questions/39244589/serializing-image-stream-using-protobuf
3043,9,https://stackoverflow.com/questions/14036004/how-to-convert-jobject-to-jstring
632,9,https://stackoverflow.com/questions/17124712/jni-android-converting-char-to-byte-array-and-return-it-to-java
"623,12484","12,6",https://stackoverflow.com/questions/7559676/how-to-correctly-deserialize-a-json-string-into-the-class-that-contains-a-nested
"1518,2608,3211","3,1,0",https://stackoverflow.com/questions/6236786/customize-jquery-autocomplete-result
"257273,6018,13522","31,2,0",https://stackoverflow.com/questions/6536826/dealing-with-commas-in-csv
853,8,https://stackoverflow.com/questions/43196260/cakephp-how-to-call-javascript-function-in-link
"492,243","3,1",https://stackoverflow.com/questions/11952365/accessing-an-array-of-pointers-within-a-structure-from-java-with-swig
9309,33,https://stackoverflow.com/questions/16062824/convert-object-of-class-stdclass-to-json-object
"54,11289,13547,11","2,0,0,0",https://stackoverflow.com/questions/3838921/how-to-pass-byte-arrays-between-java-and-javascript
"89643,988","12,2",https://stackoverflow.com/questions/3260259/output-jstl-escaped
"5214,51,404","8,2,0",https://stackoverflow.com/questions/26983005/importing-python-flask-json-dictionary-into-javascript-error
"92976,1504","10,1",https://stackoverflow.com/questions/3431950/rijndael-256-encrypt-decrypt-between-c-sharp-and-php
"451,56","21,2",https://stackoverflow.com/questions/46093210/c-sharp-version-of-the-javascript-function-btoa
"1502,258609,123,2945,1","69,2,2,1,0",https://stackoverflow.com/questions/22978025/jackson-json-how-to-convert-array-to-jsonnode-and-objectnode
59154,5,https://stackoverflow.com/questions/29760761/aes-256-on-the-client-side-js-and-in-the-server-php
"28416,11","11,0",https://stackoverflow.com/questions/4080344/decompress-string-in-c-sharp-which-were-compressed-by-phps-gzcompress
"4233,673,21","12,3,2",https://stackoverflow.com/questions/38916788/accessing-laravel-relations-in-javascript-code
"513,3219,9150","18,1,0",https://stackoverflow.com/questions/28573479/cython-python-c-inheritance-passing-derived-class-as-argument-to-function-e
3436,12,https://stackoverflow.com/questions/45658004/how-to-send-audio-blob-from-javascript-to-java-spring-server
893,9,https://stackoverflow.com/questions/5058688/cant-post-large-html5-canvas-to-server
"268,418995","3,1",https://stackoverflow.com/questions/35752909/bash-script-printf-colors-from-variable
"5370,833,482,136","1,1,1,0",https://stackoverflow.com/questions/16359953/why-does-my-unicode-string-get-corrupted-when-passed-from-java-applet-to-java-s
157845,3,https://stackoverflow.com/questions/34921078/how-to-convert-indic-characters-to-unicode-escaped-characters
40039,21,https://stackoverflow.com/questions/3776485/marshal-c-int-array-to-c-sharp
"8312,0,2947,3654,61,21,46387,39416","31,10,7,7,6,2,2,1",https://stackoverflow.com/questions/967443/python-module-to-shellquote-unshellquote
"70194,64603,55267,21044","25,14,4,4",https://stackoverflow.com/questions/5719471/md5-hash-discrepancy-between-python-and-php
"40152,3961,19464,11295,18877","126,8,3,3,1",https://stackoverflow.com/questions/9001526/send-array-with-ajax-to-php-script
