accepted,active,ans_num,answer,author,combination,link,question,reputation,time,title,viewed,vote
Accepted,2012-04-22 16:58:57Z,3,"Answering my own question...,The short answer is that, with TCP alone, the client has no way of knowing whether the intended recipient has actually received the bytes sent.,ie: It doesn't matter whether the client ""happily"" sent the bytes... even with TCP they may , arrive and you definitely have no knowledge as to , they will get to the intended recipient.  Not without building in some acknowledgement into the application layer, anyway.,For my particular case, it turns out that the bytes the client sent DID actually arrive at the server, but took ~ 30s (!!!) to arrive, by which time both client and server application protocol code had timed out.,Views of the client and server side logs (for one failed connection) are here:,Those images are , views of one particular TCP stream from the , capture files.  You can see that there were a whole lot of re-transmissions occurring.  What was the root cause driving the need for these re-transmissions?  I have absolutely no idea (but would love to know!).,The data arrived at the server in the 2nd last entry (#974), ~30s after it was sent, and there were a large number of re-transmission attempts in between.  If curious about server-side #793, this is an attempt by my application-layer protocol to send a message back to the client saying ""timed out waiting for more data... where is it?"".,In addition to inherent delays, one of the reasons the data was not appearing in the , logs at the server also seems to be my usage of ,.  In short: make sure to Ctrl-C out of the , capture before looking at the capture file (that created with the , switch), as it seems to make a big difference as to what you see in the file.  I expect this is a flush/sync'ing issue, but am guessing. However, without Ctrl-C I was definitely missing data.,Although you often read/hear that the TCP will:,it is apparent/obvious that the first is not actually true at all.  TCP will do it's best to get your bytes to the intended recipient (including retrying for a LONG time), but this is not a guarantee, whether or not the , indicates for the , return value that ""On success, these calls return the number of characters sent"".  The latter is , true and is highly misleading (see below).,The root of this comes mostly from the way that the various socket calls (, in particular) behave and how they interacts with the TCP/IP stack of the operating system...,On the sending side of a TCP exchange, the progression is quite simple.  First you , and then you ,., returning successfully definitely means that you were able to establish a connection to the server, so you at least know that at this time the server was there and listening (ie: the 3-part TCP opening handshake was successful).,For 'send`, although the documentation for the call indicates that the return value (if positive) is the ""number of [bytes] sent"", this is just plain wrong.  All that the return value tells you is the number of bytes that the TCP stack in your underlying OS accepted into its outgoing buffer.  After this point, the OS will try its best to deliver those bytes to the recipient that you initially made a connection with.  But ,, so it does , mean you can count on those bytes being sent!  Somewhat surprisingly, there is also no real way to even determine whether this did (or did not!) happen, at least at the TCP socket layer, even though TCP has built in ACK messages.  To verify full receipt of your sent bytes, you need to add some sort of acknowledgement at the application layer.  nos has , in another question that talks a bit about this.,One interesting dilemma I'm left with here is whether or not I need to build in some retry capability into my application-layer protocol.  Currently it seems like, in the event of a timeout waiting for data at the server, it would be beneficial to close the connection and open a new one with the same request.  It seems this way because the low level TCP retries were not successful, but in the mean time there were other client-side threads that were getting through in good time.  This feels horribly wrong, though... you would think that the TCP retries should be sufficient.  But they weren't.  I need to look into the root cause of the TCP issues to resolve this.",Russ,"python,c,sockets,tcp,tcpdump",https://stackoverflow.com/questions/10249677/why-would-tcp-packets-consistently-fail-to-arrive-at-the-server-when-the-client,"I've got a simple client server set up where it seems like TCP packets I'm sending from the client are not arriving at the server.,Normally everything works fine, but when I spin up 50 threads on the client to hit the server ""simultaneously"" with the same small data packet (which is only 39 bytes), a random number of times the server is not receiving all bytes.  Even stranger, is that it is very consistent in how it doesn't receive them... only 5 bytes are received.,I'm using , and , to capture what is going on at both ends (,.,On the client side, for 50 threads firing off the 39 byte packet, it looks perfect.  Specifically, tcpflow (which uses libpcap) shows me 50 identical data transfers:,As I understand it, libpcap/tcpdump get data from a pretty low level (below the TCP stack) so I take this to mean that the data was sent ok, or at least was not stuck in the kernel buffers.,However, when looking at the server side, all is not perfect.  A random number are failing, and it is a high percentage.  For example, out of the 50 socket connections, 30 will work fine, but for 20 of them I have a protocol failure where the server's , times out waiting for bytes (the protocol indicates exact packet length).,It is , consistent in how it fails.  For the 30/20 case, 30 of the sockets perfectly receive the transmitted 39 bytes.  The remaining 20 ALL receive this partial data, after which my , times out:,Only 5 bytes are arriving for each of the 20 connections, and it seems to be at the kernel level since tcpdump is only showing 5 bytes arriving as well.,How can this happen?,This 5-byte boundary is not 100% coincidence.  It is the first part of a header, and the 34 byte payload comes next, but is not arriving.  On the client side it is split like this.,and both , calls complete successfully in every thread, as is proven my the tcp logging shows that all 50 runs send 39 bytes ""out the door"" perfectly.,Any ideas on the root cause of this?  What am I missing?",reputation score ,2012-04-20 16:07:50Z,Why would TCP packets consistently fail to arrive at the server when the client happily sent them?,"
                        6k times
                    ","
            6
        "
Accepted,2016-04-10 16:56:34Z,1,"; the Python 3 , correspond to Python 2 , objects; the names of the functions for handling , in Python 3 are ,-prefixed in the C-API.,Thus this line:,could be changed to use , on Python 3:,(Not that passing , to , , will have undefined behaviour, so you'd want to check that a non-NULL pointer was returned)",Jahan Balasubramaniam,"python,c,python-3.x,python-internals,python-embedding",https://stackoverflow.com/questions/36530637/embedding-python-in-c-error-in-linking-undefined-reference-to-pystring-asstri,"I am trying to embed a python program inside a C program. My OS is Ubuntu 14.04,I try to embed python 2.7 and python 3.4 interpreter in the same C code base (as separate applications). The compilation and linking works when embedding python 2.7 but not for the python 3.4. It fails during the linker stage.,Here is my C code (just an example not real code),I compile the program using gcc. First with compiling and linking flags set to python 2.7 I run the compilation and linking by using following command:,The flags expand as:, , ,It works fine without any issues. When I try to compile the same with python3.4 flags it fails:,The flags expand as:, , ,I tried by changing the order in which linker objects are specified. But no luck. Any idea why this would be the case?,Thanks for the help!!",reputation score ,2016-04-10 13:52:36Z,Embedding Python in C: Error in linking - undefined reference to PyString_AsString,"
                        6k times
                    ","
            6
        "
Accepted,2019-06-13 19:57:24Z,2,"If UTF-8 encoded , is OK, you should definitely use , (which requires Python 3.3):,Also, do understand that is , to check the return value of each and every , function call that you ever execute in your code. ,Here the , will return , if , is not a ,, or , causes ,. , will return , if , is not a , object. Ignore the return value and CPython crashes with , when the conditions are right.",ComputerLocus,"python,c,python-3.x,python-c-api,python-internals",https://stackoverflow.com/questions/36093158/how-does-string-conversion-between-pyunicode-string-and-c-string-work,"I have a PyUnicode object I'm trying to convert back to a C string (char *).,The way I am trying to do it does not seem to be working. Here is my code:,Is there another/better way I should be doing this?",reputation score ,2016-03-18 19:55:50Z,How Does String Conversion Between PyUnicode String and C String Work? [closed],"
                        5k times
                    ","
            6
        "
Accepted,2021-06-28 03:12:57Z,2,"I think the error is in the code you did not include in your example: have you remembered to call , in your module init function:,I copied your example verbatim and added (using python 3)
,and the example ran without issues. Removing the call on the other hand produces a crash.",Mark Morrisson,"python,c,arrays,numpy",https://stackoverflow.com/questions/37943699/crash-when-calling-pyarg-parsetuple-on-a-numpy-array,"I wrote a simple Python extension function in C that just reads a Numpy array and it crashes.,Here is how it is called:,What's wrong with my code?",reputation score ,2016-06-21 11:52:59Z,Crash when calling PyArg_ParseTuple on a Numpy array,"
                        2k times
                    ","
            6
        "
Accepted,2015-05-13 21:49:48Z,1,"In Python you use a ,.,Example:",Roger,"python,c",https://stackoverflow.com/questions/30225067/reproduce-a-c-function-pointer-array-in-python,"I have a Python program asking the user for input like a shell, and if I detect some specific keywords I want to go inside some specific functions.,The thing is that I would like to avoid doing a lot of , and ,. Usually in C to avoid this situation I use a function pointer array that I travel with a , and use , to check the input.,I would like to know how to do that in Python if it is even possible.",reputation score ,2015-05-13 20:58:45Z,Reproduce a C function pointer array in Python,"
                        627 times
                    ","
            6
        "
Accepted,2017-01-18 10:30:24Z,3,"Instead of using ,/, (which always expects Python objects as arguments), you can use a custom , to create instances:",Snorfalorpagus,"python,c,pointers,cython",https://stackoverflow.com/questions/18695402/wrapping-a-pre-initialized-pointer-in-a-cython-class,"I'm trying to use a C library which uses a callback function (callback_function) to provide a pointer to a struct I'd like to wrap (glp_tree).,What is the correct way to initialize an instance with a pointer not created in ,? I can't find an example of this pattern in the cython documentation.,I have some working code (see below), which casts the pointer to an integer and back, but I'm not sure this is good practice / sane.,Passing the glp_tree object directly seems to work (although it's not what I want to do), but trying to pass the pointer results in a compiler error:",reputation score ,2013-09-09 09:38:09Z,Wrapping a pre-initialized pointer in a cython class,"
                        1k times
                    ","
            6
        "
Accepted,2011-11-21 17:27:29Z,1,"Importing , from , fixes the problem for me:,The error is in the declaration of ,. That should have been, as , lists,,whereas your version is implicitly ,; the default return value type is Python object rather than , as in C. Getting the right declaration turns off Cython's attempt to , the return value from ,.,(Btw, in your ""vanilla"" C problem, you shouldn't be casting the return value from , to ,.)",tehwalrus,"python,c,cython",https://stackoverflow.com/questions/8215265/passing-python-strings-through-cython-to-c,"I am trying to write a module with some c and some python parts. I am using cython to bridge the gap.,I want to store my (very long) string constants in python, because of the much nicer syntax:,versus:,(the strings are much longer than this, and more complicated - to the extent that I don't want to have to add and remove the ,s and ,s every time I want to edit it with syntax highlighting. In fact, they are openCL kernels.),I need to be able to turn these into c strings using cython, and according to , I should just need this:,and with no manual memory management, , will work as long as I keep a reference to ,.,However, I can't get this working with a simple printf test. Here is my cython file:,which, when compiled at runtime using , gives the following output to terminal before segfaulting:,now, I've checked what cython actually puts in the c file, and tried it in a vanilla C file where it , segfault:,to be clear, cython generates code which catches the output of , and tests for ""not that"". the type of the variable is a ,.,My only guess here was that the string was improperly terminated, so printf just carries on past the end of it and causes the segfault, but since that doesn't happen in my pure c test, I'm completely stumped.,So, my actual question is how do I , pass a c-string to c code from cython? Answers pointing out an easier way to solve the actual problem I'm trying to solve at the top are also very welcome :)",reputation score ,2011-11-21 16:42:21Z,"passing python strings, through cython, to C","
                        10k times
                    ","
            6
        "
Accepted,2010-05-20 11:50:09Z,2,"You can't make a statically linked extension module because Python needs to load it dynamically at runtime and because (as you reasoned) the module needs to dynamically link against libpython.,You could compile your own custom version of Python with your extension statically linked into the interpreter.  That's usually more trouble than it's worth.,Why do you want to make a statically linked extension?  If we have more information about your goals, we might be able to help you achieve them in a different way.,Welcome to StackOverflow. :-)",amoffat,"python,c",https://stackoverflow.com/questions/2865679/why-are-python-extensions-shared-libraries-is-it-possible-to-make-a-static-link,I'm an extension noob.  What I want to do is create an extension that doesn't require other libraries to be installed.  Is this impossible because the extension has to link against a specific version of libpython at runtime?,reputation score ,2010-05-19 13:01:36Z,Why are python extensions shared libraries? Is it possible to make a static-linked library?,"
                        2k times
                    ","
            6
        "
Accepted,2019-05-30 16:42:18Z,1,"I had a look at your code, made a couple edits, and compared it to the scipy and MATLAB Hilbert transforms. The function , returns a complex sequence; the real components are the original signal and the complex components are the Hilbert transform. If you want just the Hilbert Transform, use , on the returned array. ,Outputs:,MATLAB:",Brandan B,"python,c,matlab,scipy,fft",https://stackoverflow.com/questions/56380536/hilbert-transform-in-python,"I am trying to write the Hilbert transform from scratch but not use any built in libraries other than for , and ,. I am not a mathematician by trade but I found these two algorithms online for the Hilbert transform, one in C and one in MATLAB. I tried to do implement them both but neither of them are giving me the same result as SciPy's Hilbert. I for sure have made something wrong in my implementation. Any insight would be greatly appreciated. ,First implementation:
(From MATLAB Website)
Hilbert uses a four-step algorithm:,My attempt:,Second Implementation:
(,),My attempt:,Any insight on why neither of them give the same result as SciPy's , would be greatly appreciated.",reputation score ,2019-05-30 14:45:32Z,Hilbert Transform in Python?,"
                        5k times
                    ","
            6
        "
Undetermined,2016-03-06 13:13:33Z,2," is not how you set your script's exit code in Python. If you want to exit with an exit code of 0, just let your script complete normally. The exit code will automatically be set to 0. If you want to exit with a different exit code, , is the tool to use.,If you're using return values of 0 or 1 within your code to indicate whether functions succeeded or failed, this is a bad idea. You should raise an appropriate exception if something goes wrong.",tarabyte,"python,c",https://stackoverflow.com/questions/35818977/does-python-have-an-exit-success-constant,"I'm returning , all over the place in a python script but would prefer something more semantic, something more readable.  I don't like that magic number.  Is there an idea in python similar to how in , you can return , instead of just 0?,I was unable to find it here:
","reputation score 14,744",2016-03-05 19:45:28Z,Does python have an EXIT_SUCCESS constant?,"
                        1k times
                    ","
            6
        "
Undetermined,2020-11-19 21:08:51Z,2,"Did the question change?  I'm not sure, but I suspect so since my previous answer is very wrong.  I vaguely recall that the question used to be about , variables, in which case this is true:,However, it is easy to iterate over the , variables from Python.  You can use , to get the selected frame.  Then, from the frame you can you use the , method to get the , object.,A , object represents a scope.  You can iterate over the , directly to get the variables from that scope.  Then, go up a scope using ,.  When you hit a block with a , attribute, you've hit the outermost scope of the function.",TorosFanny,"python,c,debugging,gdb",https://stackoverflow.com/questions/30013252/get-all-global-variables-local-variables-in-gdbs-python-interface,"I have learned through reading the post , that we can get all variables of the current frame in gdb's command line.,My question is how to get all variables of the current frame in the gdb's python interface, since , just give results in strings and that's not convenient for further use.",reputation score ,2015-05-03 11:24:21Z,Get all global variables/local variables in gdb's python interface,"
                        3k times
                    ","
            6
        "
Accepted,2013-02-07 01:58:21Z,2,"The problem is this code:,As , say, , returns a borrowed reference. So, the first time you call here, you borrow the reference, and decref it, causing it to be destroyed. The next time you call, you get back garbage, and try to call it.,So, to fix it, just remove the , (or add , after the , line).,Actually, you will usually get back a special ""dead"" object, so you can test this pretty easily: put a , after the , line and after the , line, and you'll probably see something like , the first time, , the second and third times (and you won't see the fourth, because it'll crash before you get there).,I don't have a Windows box handy, but changing ,, ,, ,, ,, etc. to ,, ,, ,, ,, etc., I was able to build and run your code, and I get a crash in the same place… and the fix works.,Also… shouldn't you be holding the GIL inside ,? I don't often write code like this, so maybe I'm wrong. And I don't get a crash with the code as-is. Obviously, spawning a thread to run , , crash, and ,/, solves that crash… but that doesn't prove you need anything in the single-threaded case. So maybe this isn't relevant… but if you get another crash after fixing the first one (in the threaded case, mine looked like ,), look into this.,By the way, if you're new to Python extending and embedding: A huge number of unexplained crashes are, like this one, caused by manual refcounting errors. That's the reason things like ,, etc. exist. It's not that it's impossible to get it right with the plain C API, just that it's so easy to get it wrong, and you will have to get used to debugging problems like this.",Dennis,"python,c,python-2.7",https://stackoverflow.com/questions/14677190/embedding-python-in-c-error-when-attempting-to-call-python-code-in-a-c-callback,"I have some C code that calls a Python function. This Python function accepts an address and uses WINFUNCTYPE to eventually convert it to a function that Python can call. The C function send as a parameter to the Python function will eventually call another Python function. It is at this last step which causes a crash. So in short I go from C -> Python -> C -> Python. The last C -> Python causes a crash. I've been trying to understand the problem, but I have been unable to.,Can someone point out my problem?,C code compiled with Visual Studio 2010 and run with the args ""c:\...\crash.py"" and ""func1"":,Python code:,Output:,I added a PyErr_Print() to the end and this was the result:,EDIT: Fixed a bug that abarnert pointed out. Output is unaffected.,
EDIT: Added in the code that resolved the bug (acquiring the GIL lock in cfunc1). Thanks again abarnert.",reputation score ,2013-02-03 20:53:56Z,Embedding Python in C: Error when attempting to call Python code in a C callback called by Python code,"
                        4k times
                    ","
            6
        "
Accepted,2012-10-12 16:25:20Z,1,"The , relocation is used for 24 bit relative offsets. Relocations of this type should not appear in dynamic relocation tables (these are meant for references inside a loadable object, not between them, as libraries can be loaded to addresses more than 16 MiB apart).,By default, the compiler generates these relocs whenever possible, as this is significantly smaller and faster code than using full 32 bit addresses, however for dynamic linking, full addresses need to be used for externally visible symbols and PIC/GOT entries generated.,Check that the , flag was used for building the library, and that the linker was also notified that it is building a shared object (typically, via , or ,).",Eric Seifert,"python,c,gcc,swig,powerpc",https://stackoverflow.com/questions/12862830/r-ppc-rel24-relocation-out-of-range,"I am working on an embedded powerpc (e500v2) platform. I am cross compiling compiling with gcc 4.6.3 and eglibc 2.13. There is a swig library that is compiled and loaded on the target. When its loaded in python I am getting this error in a traceback:,I have struggles with this library before, I am migrating from python 2.5 on our target to 2.7. When I initially attempted to compile this library I was getting either relocation errors or operand out of range errors at compile time depending on which flags I used. I switched to gcc 4.6.3 and now it builds, but I am getting this error when its loaded.,I am trying to understand the error, but so far I am in the dark on exactly what it means and how to fix it. I get that a symbol can't be found for some reason, but I don't understand why, or how to fix it.",reputation score ,2012-10-12 15:54:33Z,R_PPC_REL24 relocation out of range,"
                        4k times
                    ","
            6
        "
Accepted,2013-03-27 19:55:47Z,3,"Thanks to @ChuiTey, I discovered that , and , are the tools on the Mac that can do what objdump does on Linux. With , I found that the leading underscores are part of the symbol name in the , library.,Once I knew that the linker (in my case, ,) was looking for the right name, it was clear that it just wasn't looking in the right place. And that's how I learned that header files don't know the location of the libraries to which they link (Duh!) I just needed to add the option , to the command that runs the linker (this requires that , is in the directory where your linker looks for libraries - on my machine, that's ,.),I also had to move , from , because it was compiled for a 64-bit  platform and I am using 32-bit Python.,There must be an easy way to specify the , linker option when compiling Cython code with distutils or a makefile; for now I am just running gcc-4.0 twice to compile and then link the module. My workflow to compile a Cython module from the bash command line is:,Which produces ,, a Cython module that can be imported in Python 2.7.",Wesley,"python,c,cython,gsl",https://stackoverflow.com/questions/9303212/importerror-from-cython-when-linking-an-external-c-library,"I am trying to replicate the work of Flavian Coelho, ,. He used Cython and the Gnu Scientific Library (GSL) to get a huge speed-up over Python in generating random numbers. When I import my compiled Cython code in Python (with the command ,), I get the following error:,You'll notice that the complaint is that the symbol , can't be found. The function i am trying to link to is called , (no leading underscore), and that is how it appears in my , file. I think Cython is somehow causing the problem by adding that leading underscore.,In order to make troubleshooting easier, I've stripped the code down and posted it below. My system is: Mac OSX 10.7 (Lion) running Python 2.7.2 (32-bit), gcc-4.0 (which I used to compile the GSL libraries in 32-bit form), GSL 1.15, and Cython v0.15.1.,Here is the content of cgibbs.pyx:,The error goes away if I comment out the last line of my ,, but then I can't actually use the external library... Any insight you can offer is appreciated. Thanks!",reputation score ,2012-02-15 23:28:48Z,ImportError from Cython when linking an external C library,"
                        2k times
                    ","
            6
        "
